1966.2.7.5,1966,Dorothy Stafford at L&C College with Mt. Hood in background,From a roll of Stafford family photos dated 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.1.1,1966,Ed Meterburg,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.1.2,1966,WS manuscript �Sage for Alan Swallow�,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.1.3,1966,WS manuscript �Sage for Alan Swallow�,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.1.4,1966,Don Babcock,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.1.5,1966,Don Babcock,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.2.1,1966,bird on picnic table,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.2.2,1966,"Eve, Scott, and Dorothy Greer ",From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.2.3,1966,"Eve, Scott, and Dorothy Greer",From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.2.4,1966,Arleigh Dodson,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.2.5,1966,Bill Lucht,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.3.1,1966,at Nosratollah Rassekh�s,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.3.2,1966,at Nosratollah Rassekh�s,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.3.3,1966,Bret Stafford,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.3.4,1966,WS standing in yard,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.3.5,1966,Bret Stafford by Christmas tree,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.4.1,1966,Bret Stafford,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.4.2,1966,one peso,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.4.3,1966,photo of photo of WS�s brother Bill as a boy holding a fish,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
1966.3.4.4,1966,bird on picnic table,From a roll of photos identified by Stafford as: Fall 1966.,William Stafford,This image is the property of the Estate of William Stafford. Permission must be granted for use. ,jpg,photograph,,,,,,,,
